"Tipo de información","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices","Índices",
"Fecha"," 821890 "," 821891 "," 821894 "," 821895 "," 821896 "," 821897 "," 821898 "," 821899 "," 821900 "," 821901 "," 821902 "," 821903 "," 821904 "," 821905 "," 821906 "," 821907 ",
"1Q Abr 1990","8.18086627443957","8.84127479819966","8.64301187381772","6.38422727787941","10.9820926621368","8.83463385322004","10.2540460278369","4.18027621793145","8.78953613754069","6.38395071451572","8.65218581749194","7.5513098591756","9.344765547547","4.41240660522316","3.5066383265435","6.15443141836009",
"2Q Abr 1990","8.25007790189615","8.93176030222707","8.73763826737791","6.44388762122598","11.1181020219636","8.91642040296159","10.3341509475069","4.1892854163977","8.88306094695322","6.40272771591276","8.68376758486875","7.5330176066423","9.41141336123152","4.41976722908972","3.5066383265435","6.17632348013763",
"1Q May 1990","8.32046085166551","9.03981680865373","8.81399537359721","6.5111262721949","11.1984241663422","9.06534924686309","10.5732245647858","4.19982769667847","9.00102711571064","6.38577610595561","8.6553715374985","7.38924260762318","9.46517802518708","4.41301635338819","3.4717817271539","6.22551806816835",
"2Q May 1990","8.39721743187015","9.14344465677787","8.94364408982227","6.65012127450438","11.2965440262422","9.12924890033382","10.6336790954496","4.21159965006266","9.07471892288737","6.39922416076554","8.59180900291628","7.22496017059562","9.47373451456843","4.49722248520673","3.55298790841758","6.31457790156433",
"1Q Jun 1990","8.51061552285294","9.28116785284824","9.07130127316669","6.77630379864097","11.4096105473241","9.27662937511625","10.8898369081529","4.23406446039543","9.17880967019611","6.45362240086199","8.49280969270321","6.92722461758151","9.51676694289265","4.69302215975104","3.79634888883066","6.4132783092726",
"2Q Jun 1990","8.57526153175822","9.35870112962452","9.16036284106474","6.8381496821762","11.5288468337983","9.3355457589599","10.9579527746743","4.28146382374709","9.23513332517722","6.48683685337862","8.50401340324343","6.89895110810206","9.55586800542416","4.7469477799088","3.79634888883066","6.57366457941769",
"1Q Jul 1990","8.66300450395306","9.46632622831224","9.24552700373352","6.92601612931722","11.5985968439482","9.47113370087408","11.2256643130505","4.30334774970053","9.31249403493401","6.52655160511598","8.55819940404707","6.91911744897113","9.63363879131468","4.77406731935917","3.79634888883066","6.65432386099608",
"2Q Jul 1990","8.73446656224833","9.54704294273","9.31927640497921","6.99489545636534","11.6701089813782","9.55900409701024","11.3128768341129","4.31198865146758","9.41245170599307","6.57448622270636","8.6464768846009","7.01077890725834","9.71861137049365","4.78584705008833","3.79634888883066","6.68935928700405",
"1Q Ago 1990","8.82487440926738","9.65155651964541","9.41056663525677","7.08444748301716","11.7520186340268","9.67865833250339","11.5632040784044","4.35479318675711","9.46976597207507","6.62973976144062","8.75409436343576","6.98603094850121","9.91905034606567","4.79405693752098","3.80107460519457","6.70438546950297",
"2Q Ago 1990","8.86902771727493","9.7050988466734","9.45663088319753","7.09781270164638","11.8423872689768","9.74094168051321","11.6342232879804","4.41318276745657","9.52883514773286","6.65110642976228","8.78517947960384","6.89821277425416","10.0341880346597","4.80687700428274","3.8037984827037","6.73710171060613",
"1Q Sep 1990","8.94629250941613","9.81226234512671","9.49741534937999","7.12674962321804","11.8960413460028","9.93751827459905","11.8923264628357","5.30669403267085","9.60715860272534","6.65825245504773","8.79705512911032","6.79263588711849","10.1292834894753","4.80980971985669","3.8037984827037","6.74582423082789",
"2Q Sep 1990","8.99983193757663","9.86060231131155","9.5476769586674","7.15923590992684","11.96705539382","9.98161743365662","11.9603144288304","5.33708754366817","9.6402722594244","6.72142454618162","8.8873256767327","6.93409582825312","10.1823072063224","4.84921053135442","3.85939447650547","6.7525205491487",
"1Q Oct 1990","9.07756142503606","9.9592791762962","9.63068324730671","7.24438532234021","12.0357942472132","10.0990457742428","12.2051258259627","5.34010844895928","9.70188960720593","6.74912595233636","8.89646089612928","6.92551113519508","10.2039225126721","4.89437669474637","3.89730078014541","6.81152029625762",
"2Q Oct 1990","9.12655854711972","10.0295948875812","9.70481172893714","7.30410496783239","12.1223346589008","10.1617693834967","12.2835450145798","5.35119375979187","9.76342151778302","6.74835703798847","8.84721405320907","6.81899500077438","10.1958166754252","4.93799650262","3.89734262120102","6.94117173365024",
"1Q Nov 1990","9.23476106469364","10.1301170056425","9.77092652124138","7.34759970452296","12.2145734858809","10.3071938637272","12.5357076518684","5.35746123993537","9.86846001814306","6.86967283896833","8.9459423172717","7.04248848625966","10.2050039601745","5.08201403347678","4.10631055817008","6.95421289595923",
"2Q Nov 1990","9.45268503704775","10.2901431523797","9.92655028148308","7.52814075648244","12.3112421868887","10.4682382728866","12.6620130728171","5.37836342888977","10.0701168794402","7.20930491147426","9.23832641253673","7.50953072121737","10.3704618143841","5.47055813456389","4.57979673134113","7.1688312251529",
